id,name,duration,artist_name,is_explicit,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,Pop,Rock,Hip Hop,Folk,Metal,Blues,Jazz
7BIPYQPHbPVDE9UsA0eT72,22h22,200906,Ariane Moffatt,False,4,0.35,0.0959,10,-17.471,1,0.0439,0.964,0.0024,0.106,0.108,143.861,0,0,0,0,1,0,1,0
4KEw5m7CZXVbpWbHVK4OrV,28 Jours,292120,Karkwa,False,4,0.15,0.237,3,-10.799,0,0.0323,0.778,0.0977,0.0897,0.0733,67.276,15,0,1,0,0,0,1,0
5MPryR3oJGmWnSYM7X2GGE,50/50,163226,The Strokes,False,4,0.491,0.93,11,-6.412,0,0.0347,4.23e-05,0.612,0.219,0.623,99.924,47,0,1,0,0,0,1,0
4ymUtICOpIlyvFf3URM7XZ,50 Shades of Beige,208247,Radio Radio,False,4,0.703,0.7,2,-6.152,1,0.135,0.049,0.0,0.365,0.512,119.966,0,0,0,0,0,0,1,0
2lffRiAET2Xt6BNb4EmkS2,80's Comedown Machine,298613,The Strokes,False,4,0.488,0.503,0,-8.89,1,0.0326,0.00583,0.809,0.101,0.38,144.035,53,0,1,0,0,0,1,0
3oQ52Mqz2ih8KjligVoQrG,96.7 The Pipe,34014,Mac DeMarco,False,4,0.583,0.917,6,-8.96,0,0.567,0.493,0.0608,0.296,0.44,171.157,33,0,1,0,1,0,0,0
5h8G81Ls00kyf1UEen0gBB,106.2 Breeze FM,60641,Mac DeMarco,False,4,0.487,0.753,6,-10.533,0,0.306,0.665,0.00144,0.231,0.847,112.907,31,0,1,0,1,0,0,0
7ynvnjTj1XI8ByUq3F8MUw,400 Lux,234286,Lorde,False,4,0.512,0.474,2,-8.36,1,0.0371,0.0787,0.00345,0.134,0.194,183.991,60,1,0,0,0,0,0,0
4wHh4AljzbSGMJvynLgK1q,1517,221226,The Whitest Boy Alive,False,4,0.784,0.539,11,-7.676,0,0.0406,0.317,0.377,0.0989,0.962,122.53,0,0,1,0,0,0,0,0
2UFEbNhbk9GsxCigXPq3XI,1990 (Danse Mix),308426,Jean Leloup,False,4,0.6,0.939,2,-5.713,1,0.0746,0.000559,0.0,0.0947,0.648,121.846,22,0,1,0,1,0,1,0
7IcXkPWjwqUCCkI2mUf02h,2024,190333,Cage The Elephant,False,4,0.243,0.984,10,-3.384,0,0.323,2.32e-05,0.00938,0.131,0.239,180.979,0,0,1,0,0,0,1,0
1595LW73XBxkRk2ciQOHfr,A-Punk,137760,Vampire Weekend,False,4,0.548,0.816,2,-4.478,1,0.0499,0.0104,0.0543,0.152,0.857,174.993,10,0,1,0,0,0,0,0
6GWS0Nb3ybf3tQXZ0FlfZf,Aberdeen,192920,Cage The Elephant,False,4,0.154,0.972,7,-3.626,1,0.111,0.000913,0.247,0.368,0.213,205.467,0,0,1,0,0,0,1,0
5FcjGGKpQx6dvuGcbAcFtC,Above You,194960,The Whitest Boy Alive,False,4,0.725,0.774,4,-6.402,0,0.174,0.135,0.126,0.0844,0.72,78.976,0,0,1,0,0,0,0,0
4YpfqCRwb3ttShlTNaB2jU,Abraham,153693,Sufjan Stevens,False,4,0.365,0.0299,6,-20.546,1,0.0709,0.946,0.49,0.111,0.255,80.762,35,0,1,0,1,0,0,0
00fyPXxe2SCBHnFwEO9Eh1,Across The Universe - Take 2 / Anthology 2 Version,212120,The Beatles,False,4,0.488,0.341,2,-11.907,1,0.0256,0.681,0.0,0.0844,0.463,79.377,36,0,1,0,1,0,0,0
691jw4auDZjaTOwUJmtoSy,Across The Universe - World Wildlife Fund Version / Remastered 2009,229173,The Beatles,False,4,0.461,0.575,10,-10.709,1,0.0538,0.517,0.0,0.138,0.549,82.634,40,0,1,0,1,0,0,0
4dkoqJrP0L8FXftrMZongF,Across The Universe - Remastered 2009,228133,The Beatles,False,4,0.257,0.412,1,-11.788,1,0.0287,0.361,8.68e-05,0.0702,0.858,152.126,66,0,1,0,1,0,0,0
0IxxqsYBcCHEQ1HqLYJnwx,Act Naturally - Remastered 2009,150373,The Beatles,False,4,0.702,0.447,7,-10.122,1,0.0308,0.366,0.0,0.153,0.944,93.02,48,0,1,0,1,0,0,0
1aQmitUScES0kpdge6BtF4,Ad Lib Blues,354333,Lester Young,False,4,0.704,0.317,0,-13.127,1,0.0551,0.956,0.499,0.139,0.783,108.165,0,0,0,0,0,0,0,1
22cDldSuj9rgIMXwn4Ofn0,Adult Diversion,207640,Alvvays,False,4,0.327,0.948,8,-4.355,1,0.0711,0.0355,0.515,0.126,0.469,177.328,53,0,1,0,0,0,0,0
5MbRyPfgokD3c6nxCV7TFG,Adventures in Your Own Backyard,291439,Patrick Watson,False,3,0.353,0.547,5,-9.793,0,0.0364,0.126,0.116,0.323,0.213,146.043,28,0,0,0,1,0,0,0
3H3cOQ6LBLSvmcaV7QkZEu,Aerodynamic,212546,Daft Punk,False,4,0.624,0.911,7,-7.482,1,0.0524,0.328,0.861,0.0727,0.135,122.902,62,0,0,1,0,0,0,0
6D43oUO6nImERk2psfXdNY,Afterlife,352754,Arcade Fire,False,4,0.638,0.873,11,-5.545,1,0.0363,0.0943,0.0395,0.226,0.682,115.95,1,0,1,0,0,0,0,0
7H819kvtogxVpKDFplUFKc,Ah Holy Jesus,161653,Sufjan Stevens,False,4,0.161,0.176,8,-14.604,1,0.0446,0.986,0.000232,0.178,0.0808,67.503,14,0,1,0,1,0,0,0
67kwRadxmmURPuWIpEyymY,Ah Holy Jesus (a capella),59880,Sufjan Stevens,False,4,0.16,0.17,8,-20.478,1,0.0376,0.994,0.763,0.0941,0.0399,134.526,11,0,1,0,1,0,0,0
1FEYWXG23hr3m2vXHpbZeq,Ah Holy Jesus (with reed organ),88800,Sufjan Stevens,False,4,0.296,0.164,5,-12.602,0,0.0348,0.959,0.0,0.201,0.253,85.346,12,0,1,0,1,0,0,0
1SfOQKZv0c9FqNXd2Kjt6P,Ain't No Rest For The Wicked,175466,Cage The Elephant,False,4,0.639,0.908,0,-5.575,1,0.138,0.0735,0.0,0.553,0.926,156.029,0,0,1,0,0,0,1,0
3OUpVpFeNx5jeInhHqiNfs,Ain't She Sweet - Anthology 1 Version,133346,The Beatles,False,4,0.495,0.854,4,-5.699,1,0.0434,0.208,0.0,0.0371,0.819,77.967,44,0,1,0,1,0,0,0
2zsz6dip4W83IlAgp2zP4Y,Ain't She Sweet - Anthology 3 Version,128479,The Beatles,False,4,0.81,0.502,4,-10.399,1,0.0541,0.0805,0.0564,0.177,0.685,121.466,26,0,1,0,1,0,0,0
3OsUjkcv1C1v5udFhgRSFg,Airbag,287880,Radiohead,False,4,0.306,0.872,2,-7.313,1,0.05,0.00792,0.8,0.261,0.648,167.946,4,0,1,0,1,0,0,0
2Ol6GoKiAvPOyk52QIQvf7,� La Cha�ne,265573,Karkwa,False,4,0.314,0.874,9,-6.33,1,0.0398,0.05,0.0784,0.411,0.398,159.829,12,0,1,0,0,0,1,0
1mYPdmzGjsYpWnFF2XO3MJ,Alaska,322546,Karkwa,False,3,0.216,0.517,2,-8.211,0,0.0325,0.0366,0.318,0.35,0.129,99.434,8,0,1,0,0,0,1,0
4knSB7lhQAtO6UqUeaGox8,Alger,208786,Jean Leloup,False,4,0.793,0.892,7,-5.626,1,0.171,0.109,0.0,0.0695,0.816,108.287,22,0,1,0,1,0,1,0
27U2Idl2Jl63dltNrgP6rm,Aliens,254851,Fleece,False,3,0.426,0.502,1,-11.085,0,0.0296,0.582,0.206,0.123,0.153,130.018,0,0,0,0,1,0,0,0
0HadrlP2mwJidGF3pyBX4H,Alive,316253,Daft Punk,False,4,0.723,0.716,3,-6.407,0,0.0437,5.42e-05,0.905,0.072,0.0748,128.701,33,0,0,1,0,0,0,0
22ZIa4vKhUFzb4YZqp7g94,All About Us,240360,Brazilian Girls,False,4,0.729,0.767,3,-6.809,0,0.0621,0.121,0.0294,0.0839,0.748,119.965,15,1,1,0,0,0,0,0
5GRhjCK4XgTajZvcP8FsRw,All Alone,216911,Humble Braggers,False,4,0.432,0.796,0,-9.39,1,0.0546,0.000613,1.79e-05,0.239,0.183,119.997,3,0,1,0,0,0,0,0
2hkfe7ug1Wabzapt5HQec4,All Ears,199760,The Whitest Boy Alive,False,5,0.457,0.0952,2,-15.476,1,0.0413,0.693,0.032,0.113,0.138,139.432,0,0,1,0,0,0,0,0
62nFeTispaiYq1KzGrONsl,All I Ever Wanted,216880,Vance Joy,False,4,0.518,0.624,0,-6.134,1,0.0256,0.0312,0.000171,0.131,0.241,87.565,43,1,1,0,1,0,0,0
51ygW389BW4Dut3B69pSwc,All I Need,228746,Radiohead,False,4,0.668,0.477,4,-8.709,0,0.0358,0.517,0.446,0.139,0.0966,88.005,6,0,1,0,1,0,0,0
0MOMLuhHqNgJ7uAceOPmfj,All I've Ever Known,375973,Bahamas,False,4,0.669,0.203,5,-11.059,1,0.0317,0.706,0.221,0.107,0.265,125.864,0,0,1,0,1,0,0,0
5tztLBvTlNC15Np2tnQ5Ll,All I've Got To Do - Remastered 2009,122573,The Beatles,False,4,0.49,0.579,1,-10.301,0,0.0344,0.217,0.0,0.0644,0.879,119.403,57,0,1,0,1,0,0,0
3rrtbnOBDzKQfyYKTezEFe,All Is Full of Love,287000,Bj�rk,False,4,0.481,0.49,6,-10.098,1,0.0271,0.0536,0.123,0.0915,0.0378,152.04,42,1,1,0,0,0,0,1
5dIZa3pwSn1vDenZpSBEFO,All My Loving,185733,Rita Lee,False,4,0.701,0.182,2,-17.068,1,0.0381,0.835,0.0276,0.109,0.125,117.885,47,0,0,0,0,0,0,1
2vCsB0tzKlAtsSwB4NBprX,All My Loving - Anthology 1 Version,139333,The Beatles,False,4,0.261,0.805,0,-5.722,0,0.0408,0.0436,0.0,0.375,0.858,155.586,29,0,1,0,1,0,0,0
7j021TxcicWprdXpCcMBeH,All My Loving - Live / Remastered,135253,The Beatles,False,5,0.203,0.663,1,-8.037,0,0.0349,0.0203,0.0,0.899,0.725,169.994,33,0,1,0,1,0,0,0
4joiWvli4qJVEW6qZV2i2J,All My Loving - Remastered 2009,127853,The Beatles,False,4,0.416,0.563,1,-8.724,0,0.0298,0.207,0.0,0.343,0.9,77.56,67,0,1,0,1,0,0,0
2Wb9ejnmy27DUTUe9YF5Ew,All Night Long (All Night) - Single Version,260426,Lionel Richie,False,4,0.739,0.576,1,-12.024,1,0.0472,0.122,0.00206,0.0482,0.78,108.81,62,0,1,0,0,0,0,0
1zwB5h9WqvAlOTOUapSNSe,All Of The Time,219618,Plants and Animals,False,4,0.55,0.751,11,-7.818,0,0.0754,0.225,0.345,0.133,0.347,144.296,9,1,1,0,1,0,1,0
6g4jkJItHpKs8Ljwt0EEMx,All That I Am,331506,WhoMadeWho,False,4,0.607,0.811,0,-6.618,1,0.0443,0.033,0.354,0.376,0.339,118.987,0,1,1,0,0,0,0,0
40WXqoyOLAAugGmJWZU1FY,All The Time,234973,Bahamas,False,4,0.711,0.468,4,-4.797,0,0.0515,0.63,0.00427,0.087,0.533,127.458,0,0,1,0,0,0,1,0
7uFZNMEZzAGOwQ6EZID1K4,All The Time,181373,The Strokes,False,4,0.403,0.883,2,-6.054,1,0.0745,8.44e-05,0.65,0.126,0.078,141.945,48,0,1,0,0,0,1,0
5OojmQ36TXkfL2JfoFJcaq,All the Trees of the Field Will Clap Their Hands,254053,Sufjan Stevens,False,4,0.632,0.225,4,-13.423,1,0.0296,0.984,0.74,0.112,0.683,144.641,47,0,1,0,1,0,0,0
0kYUrLVQOfx21xuXu7OGrT,All These Things That I've Done,301573,The Killers,False,4,0.557,0.728,6,-6.181,1,0.0405,0.00156,5.13e-06,0.118,0.216,118.241,64,0,1,0,0,0,0,0
25RYJGPnetSkV8le7TeJnR,All Things Must Pass - Anthology 3 Version,184986,The Beatles,False,3,0.492,0.231,9,-13.476,1,0.0368,0.972,6.16e-06,0.229,0.61,93.232,34,0,1,0,1,0,0,0
7hneDPwMWHSDxFZTaiGbaT,All Time Favourite,249320,Bahamas,False,4,0.378,0.254,7,-12.694,1,0.0399,0.891,0.00489,0.109,0.19,123.885,0,0,1,0,1,0,0,0
2ck8lFrYAch2GPtdhpTHe3,All Together Now - Remastered 2009,130893,The Beatles,False,4,0.587,0.431,2,-9.495,1,0.0686,0.0722,0.0,0.561,0.778,95.937,44,0,1,0,1,0,0,0
6ZMu3XuSt70jbJa7OfHN7X,All Waters,130199,Perfume Genius,False,4,0.126,0.277,1,-12.954,0,0.0304,0.936,0.00212,0.345,0.0688,88.611,0,1,1,0,1,0,0,0
7BYRb9EJ90vcBmTHMvmQvm,All We Have,226640,Brazilian Girls,False,4,0.613,0.821,0,-8.534,1,0.0344,0.00855,0.783,0.0869,0.46,101.99,16,1,1,0,0,0,0,0
3oGGipilQmZTol8qFTR6u1,All You Need Is Love,220045,The Beatles,False,4,0.372,0.532,7,-7.968,1,0.0314,0.232,0.0,0.0951,0.727,102.627,42,0,1,0,1,0,0,0
2Z8cY4QpZTFUZxCQCpvNe1,All You Need Is Love - Remastered 2009,231213,The Beatles,False,4,0.4,0.463,7,-8.455,1,0.0288,0.345,4.59e-05,0.286,0.627,103.103,43,0,1,0,1,0,0,0
6KqiVlOLfDzJViJVAPym1p,All You Need Is Love - Remastered 2015,227760,The Beatles,False,4,0.397,0.625,7,-5.829,1,0.0347,0.437,5.47e-06,0.263,0.676,104.54,57,0,1,0,1,0,0,0
6Ul9vDvJrFNlCQpFvXSLr9,All Yours,154066,Ariane Moffatt,False,4,0.719,0.638,11,-6.311,1,0.0274,0.0381,7.5e-05,0.155,0.589,112.034,4,0,0,0,1,0,1,0
7jgVqaSm3zrJlFrhVYiZj9,Almost Like Being In Love,214626,Lester Young,False,4,0.697,0.103,0,-14.972,1,0.0967,0.962,0.561,0.0806,0.464,129.535,0,0,0,0,0,0,0,1
4pXyK9GW7fuT645U0DLYYF,"Alone, Together",188800,The Strokes,False,4,0.511,0.855,7,-5.752,1,0.0307,0.00782,0.89,0.0694,0.962,142.985,50,0,1,0,0,0,1,0
13Q8MH3xSfIyXSVIQpIl8H,Alphabet St.,96293,Sufjan Stevens,False,4,0.808,0.839,7,-8.966,1,0.108,0.642,0.0805,0.0818,0.856,99.986,12,0,1,0,1,0,0,0
6gyUiLI8CLSy9UIAiHcJ2j,Already Yours,125546,Bahamas,False,4,0.64,0.291,0,-12.42,1,0.0419,0.619,0.304,0.114,0.538,123.456,15,0,1,0,1,0,0,0
2Zy9cf5v1tWFDmXTbahAU8,Alter Ego,287613,Tame Impala,False,4,0.31,0.844,0,-3.582,1,0.0497,0.0142,0.224,0.0914,0.206,129.111,50,0,0,0,1,1,0,0
17Jg504RgNPNgdpRkJh9Co,Always Alright,249169,Alabama Shakes,False,4,0.693,0.62,9,-6.509,1,0.0424,0.784,0.844,0.112,0.571,106.346,0,0,1,0,1,0,1,0
7lWrbqRzkjLIv9SGHUDDnL,Always Something,221946,Cage The Elephant,False,4,0.693,0.947,5,-5.22,0,0.0437,0.000886,1.67e-05,0.256,0.917,119.983,0,0,1,0,0,0,1,0
7EIYJ6ina8Zg2jmYKbje6L,Am I Wrong,209586,They Call Me Rico,False,4,0.474,0.845,5,-7.039,1,0.0566,0.346,0.00684,0.222,0.847,108.539,1,1,0,0,0,0,0,0
2j2A7RwqpXtff83skQLzJg,AM Theme,154000,Other Lives,False,3,0.628,0.392,5,-11.613,1,0.026,0.406,0.000275,0.112,0.386,110.253,0,0,1,0,1,0,0,0
4p9RKOnHojKDseLNZi6A93,The Amazing Sounds of Orgy,218493,Radiohead,False,4,0.323,0.628,1,-11.727,0,0.101,0.243,0.39,0.165,0.205,124.587,0,0,1,0,1,0,0,0
6hUoWKThrEV9PtoPIio5TJ,Amber,230773,Electric Guest,False,4,0.652,0.573,8,-8.338,0,0.0513,0.0429,0.479,0.149,0.837,78.011,0,1,1,0,0,0,0,0
67a946zFlPNDkdhi0YK7hG,Ambulance,230746,TRICOT MACHINE,False,4,0.435,0.703,3,-7.25,0,0.0754,0.535,0.000835,0.14,0.574,127.402,12,0,0,0,0,0,1,0
51UseDByqDUbRDQeRWqmhm,Amenamy,207080,Purity Ring,False,4,0.586,0.841,1,-4.598,1,0.0341,0.0172,1.36e-05,0.203,0.446,145.986,0,1,1,0,1,0,0,0
41on8RwRh22IHcChAN2gm8,American Boy (feat. Kanye West),284733,Estelle,True,4,0.727,0.729,0,-2.99,1,0.326,0.171,0.0,0.07,0.512,117.932,0,0,0,1,0,0,0,0
7KBC17M7S7OOiuxpeKwBrM,American Daydream,168626,Electric Guest,False,4,0.666,0.473,5,-10.06,0,0.0454,0.154,0.00317,0.109,0.409,75.002,0,1,1,0,0,0,0,0
2uQ4px5SPONsgcUpulywIQ,Amsterdam,319360,Coldplay,False,4,0.269,0.176,3,-10.463,1,0.0296,0.836,0.0343,0.122,0.105,78.861,56,1,1,0,1,0,0,0
74Z5zhIzC2X2UQPS4OLNNp,And I Love Her - Anthology 1 Version,112053,The Beatles,False,4,0.616,0.633,6,-6.404,0,0.0275,0.275,4.44e-05,0.173,0.857,118.849,31,0,1,0,1,0,0,0
65vdMBskhx3akkG9vQlSH1,And I Love Her - Remastered 2009,149693,The Beatles,False,4,0.767,0.331,1,-10.777,0,0.0337,0.64,0.0,0.0681,0.636,113.312,67,0,1,0,1,0,0,0
4gBHbKEHw2QjmgYkS9ixKJ,And Your Bird Can Sing - Take 2 / Anthology 2 Version,133413,The Beatles,False,4,0.327,0.676,2,-9.007,1,0.0368,0.03,0.0164,0.0994,0.822,133.627,31,0,1,0,1,0,0,0
4KRgqwb4kvBuTz1utbYxfb,And Your Bird Can Sing - Remastered 2009,120493,The Beatles,False,4,0.555,0.65,4,-6.936,1,0.0282,0.0067,0.0491,0.236,0.966,132.59,58,0,1,0,1,0,0,0
3Jm6PDqIputlpeg75EtDic,"Andy, You're A Star",194080,The Killers,False,4,0.504,0.588,1,-4.35,0,0.0253,0.233,0.00466,0.148,0.712,84.126,43,0,1,0,0,0,0,0
3wT3WDdQrsST19f1I08Z1N,Angel of Small Death and the Codeine Scene,218986,Hozier,False,4,0.311,0.656,4,-6.752,1,0.0952,0.163,7.05e-06,0.126,0.297,188.171,51,1,1,0,1,0,0,0
59o2b2BGgziNyPx9f3xnhA,Angel of Small Death and the Codeine Scene - Live From Spotify London,210920,Hozier,False,4,0.594,0.2,6,-10.472,0,0.0622,0.928,0.0,0.673,0.415,92.821,45,1,1,0,1,0,0,0
0wO3tPeULKGfrArC50Apea,Angela,201786,The Lumineers,False,4,0.669,0.56,4,-8.229,1,0.0309,0.652,0.000231,0.104,0.297,130.342,0,0,1,0,1,0,0,0
4IQcYP8p7Ts33ajSPkWktw,Angels We Have Heard On High,52320,Sufjan Stevens,False,4,0.445,0.168,7,-14.857,1,0.0392,0.858,0.307,0.36,0.487,99.231,7,0,1,0,1,0,0,0
6vSq5q5DCs1IvwKIq53hj2,Animal,263426,Miike Snow,False,4,0.774,0.721,6,-6.662,0,0.0773,0.0126,6.49e-06,0.0952,0.654,118.048,61,1,1,0,1,0,0,0
5Jj8wUicHq3X7nTXorseMr,Animal - Mark Ronson Extended Remix,298400,Miike Snow,False,4,0.879,0.764,1,-6.731,0,0.0599,0.103,0.467,0.644,0.949,116.417,8,1,1,0,0,0,0,0
6g3kSbl4ASleukET1mjgfp,Anita No!,183710,The D�,False,4,0.726,0.578,11,-5.988,1,0.0639,0.657,0.000244,0.11,0.389,91.031,16,1,1,0,0,0,0,0
03K4RhOIVA6t2jhHOga4w8,Ankle Injuries,304080,Fujiya & Miyagi,False,4,0.777,0.728,11,-6.9,1,0.0316,0.000157,0.818,0.0942,0.569,136.999,0,0,1,0,1,0,0,0
2baEFuU0gQon0hgVRioI1o,Anna (Go To Him) - Remastered 2009,177133,The Beatles,False,4,0.608,0.565,2,-11.06,1,0.0336,0.635,0.0,0.0601,0.835,109.286,59,0,1,0,1,0,0,0
4m3jRZFptAhh3d0Qw4r9Vh,Annie,207773,Mac DeMarco,False,4,0.369,0.401,9,-13.477,1,0.0382,0.826,0.948,0.11,0.474,176.662,27,0,1,0,1,0,0,0
7K6xMPtAjTuLPNlJMLf5bS,"Another Brick in the Wall, Pt. 1",192145,Pink Floyd,False,4,0.617,0.0457,0,-26.401,1,0.0344,0.937,0.641,0.0991,0.0967,99.48,62,0,1,0,0,0,0,0
5Yt80fWRB8JG73XlPjrrKP,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",238746,Pink Floyd,False,4,0.694,0.394,0,-15.881,1,0.0428,0.0781,0.000677,0.247,0.719,104.126,0,0,1,0,0,0,0,0
4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",238746,Pink Floyd,False,4,0.694,0.394,0,-15.881,1,0.0428,0.0781,0.000677,0.247,0.719,104.126,76,0,1,0,0,0,0,0
5A7eooPKJHtr0UJmatjH4a,"Another Brick in the Wall, Pt. 3",74411,Pink Floyd,False,4,0.653,0.472,2,-14.797,1,0.0353,0.0554,6.45e-05,0.397,0.448,102.558,55,0,1,0,0,0,0,0
1DrF8ELKgHN4WeEFeGmwoP,Another Day,258653,WhoMadeWho,False,4,0.763,0.675,1,-7.562,1,0.0328,0.091,0.0318,0.105,0.48,127.999,0,1,1,0,0,0,0,0
7hefVXaGsFPesbK6fKwS6F,Another Girl - Remastered 2009,125360,The Beatles,False,4,0.516,0.638,9,-7.453,1,0.0314,0.238,0.0,0.333,0.822,88.657,49,0,1,0,1,0,0,0
3pXAa69soxZ98bQ1gr18HO,Another One,160991,Mac DeMarco,False,4,0.694,0.407,1,-10.325,0,0.0276,0.821,0.021,0.106,0.719,147.684,55,0,1,0,1,0,0,0
57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,214653,Queen,False,4,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,75,0,1,0,0,0,0,0
60d37Gxx8O05CH7E2JyN9z,Ansaphone - Demo previously unreleased,246360,Pulp,False,4,0.331,0.486,0,-7.452,1,0.04,0.292,0.0,0.384,0.336,184.954,25,1,1,0,0,0,0,0
2cDvWgK22tolskQ4uiVxWb,Anti-Pioneer,333306,Feist,False,3,0.414,0.178,11,-10.557,0,0.0321,0.194,0.00412,0.125,0.036,87.728,0,1,1,0,1,0,0,0
63AIL0vOrm1i0DiBotDeb3,Antiam�ricanisme Primaire,216960,Loco Locass,False,4,0.776,0.773,4,-6.965,0,0.317,0.052,0.0,0.11,0.463,91.988,16,0,1,1,0,0,1,0
040YNRWisvvHqy1hUW2Kxe,(Antichrist Television Blues),310280,Arcade Fire,False,4,0.447,0.952,7,-7.033,1,0.044,0.685,0.00215,0.0689,0.82,79.331,0,0,1,0,0,0,0,0
0R5LNRyQyAdgIrBSVXN4He,Antigone,258306,Loco Locass,False,4,0.661,0.885,7,-6.738,1,0.113,0.0851,2.53e-06,0.388,0.794,91.967,14,0,1,1,0,0,1,0
6FBPOJLxUZEair6x4kLDhf,Any Colour You Like,206429,Pink Floyd,False,4,0.277,0.672,0,-12.582,1,0.0901,0.197,0.935,0.423,0.505,150.588,61,0,1,0,0,0,0,0
6rZdXG8fkei9ksN46QrxXu,Any Other Way,63213,Bahamas,False,4,0.431,0.239,0,-13.248,1,0.122,0.892,0.0,0.4,0.335,155.833,18,0,1,0,1,0,0,0
70XHAdaMaoLIOVb1hSaeJ4,Any Time At All - Remastered 2009,131280,The Beatles,False,4,0.612,0.719,2,-7.026,1,0.0398,0.366,3.88e-06,0.437,0.744,141.016,48,0,1,0,1,0,0,0
7qU7vhCPKhkDiJYGoboISc,Apocalypse Dreams,356946,Tame Impala,False,4,0.496,0.929,8,-2.279,1,0.0503,0.249,0.131,0.0677,0.267,127.998,57,0,0,0,1,1,0,0
5oWCTlfSwQ1KDx9Ie6HzoI,April's Song,212240,Real Estate,False,4,0.484,0.793,2,-7.588,1,0.0277,0.0829,0.974,0.142,0.638,138.749,38,1,1,0,1,0,0,0
7LYqeyKiDMWPnU6tzfqSwE,"Aqui, Ali, Em Qualquer Lugar",149133,Rita Lee,False,4,0.609,0.261,4,-15.079,1,0.0304,0.822,1.12e-06,0.0798,0.376,92.059,32,0,0,0,0,0,0,1
2LdG9xtEzCho3jCr58M6cq,Arabella,207356,Arctic Monkeys,False,4,0.579,0.558,2,-6.986,1,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,0,0,1,0,0,0,1,0
6WFkH4SAXn4w9NxuPgIJnX,Arizona,203813,Dumas,False,4,0.499,0.718,7,-6.805,1,0.026,0.152,0.00691,0.27,0.345,103.384,14,0,0,0,0,0,1,0
